Well,Plate,CD41_APCH7,ANXA1_APC,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,Colony
I22,1,-62,470,49,381,131,135,"1,019",N
I23,1,667,114,143,319,248,162,-141,N
I24,1,"1,701",522,60,"1,048",547,144,771,N
J1,1,"1,579",889,86,"1,405",264,168,"1,111",N
J2,1,-12,31,38,993,100,110,471,N
J3,1,223,991,83,"1,290",795,358,"2,717",N
J4,1,"4,417","1,610",195,521,805,355,"1,199",N
J5,1,145,-304,158,943,387,172,278,N
J6,1,874,128,98,"1,427",361,190,793,N
J7,1,"2,900",393,56,"1,496",395,187,"1,738",N
J8,1,661,690,93,809,241,145,"2,047",N
J9,1,30,295,28,198,69,200,-96,N
J10,1,445,27,50,"1,465",158,93,"1,578",N
J11,1,658,898,135,"1,880",315,260,174,Y
J12,1,297,-108,36,"1,027",204,40,978,N
J13,1,"1,597",526,90,821,326,138,977,N
J14,1,"1,055",207,152,709,366,340,"1,512",N
J15,1,"1,283",222,248,958,495,421,"1,191",N
J16,1,397,957,61,881,165,243,"1,266",N
J17,1,"5,090","1,217",147,"1,153",930,401,"1,634",N
J18,1,"15,568","1,508",125,"3,113",860,454,"2,500",N
J19,1,"5,603",233,129,388,534,240,581,N
J20,1,"1,483",126,54,727,400,-52,226,N
J21,1,462,"2,126",195,"1,194",585,349,"2,416",N
J22,1,"7,090",-186,65,389,805,51,"1,461",N
J23,1,"3,298","1,284",176,451,511,455,981,N
J24,1,239,256,47,779,161,45,290,N
K1,1,"2,419",23,56,906,681,105,508,N
K2,1,486,170,99,638,385,125,-38,N
K3,1,871,445,91,722,269,139,432,N
K4,1,"2,708","2,487",127,"1,360","1,417",399,"1,598",N
K5,1,"1,650","1,459",146,950,502,284,"4,092",N
K6,1,849,-40,30,"1,125",197,8,264,N
K7,1,-124,"3,999",-2,541,110,599,"4,646",Y
K8,1,"3,300",127,105,224,602,166,"1,011",N
K9,1,-233,161,148,"1,816",286,162,"2,350",N
K10,1,"2,158",742,89,876,384,153,"1,305",N
K11,1,"3,487",323,172,413,490,273,294,N
K12,1,"1,296",237,66,432,213,199,389,N
K13,1,"1,351",284,102,218,265,123,"4,086",N
K14,1,"2,212","1,312",307,196,611,698,"1,216",N
K15,1,176,326,53,178,146,229,"1,714",N
K16,1,999,-192,68,649,251,97,392,N
K17,1,"3,246","1,440",72,543,991,305,"2,132",N
K18,1,797,"1,159",89,895,483,319,"1,708",N
K19,1,632,-52,45,769,309,29,"1,060",N
K20,1,758,"1,024",79,"2,185",465,260,"1,637",N
K21,1,"1,889",536,59,"1,026",365,151,"2,636",Y
K22,1,"6,125","1,978",93,405,344,389,"1,443",N
K23,1,720,916,67,532,172,263,"1,258",N
K24,1,"1,647",36,50,438,431,131,"1,276",N
L1,1,"1,407",784,65,"1,094",532,240,"2,008",N
L2,1,"2,517","1,321",128,585,347,326,"1,799",N
L3,1,"3,230",831,140,601,747,268,"2,135",N
L4,1,"3,770",100,75,865,328,183,"1,190",N
L5,1,"6,427","1,985",275,"1,061","1,214",449,"2,967",N
L6,1,"1,331",686,87,106,276,289,435,N
L7,1,191,739,95,829,235,167,"1,096",Y
L8,1,821,509,81,"1,002",205,215,-5,N
L9,1,"1,755","1,605",156,"1,206",857,285,"1,836",N
L10,1,"4,102","1,367",152,537,"1,250",291,"2,204",N
L11,1,669,606,104,398,573,180,625,N
L12,1,"1,701",19,262,663,508,255,378,N
L13,1,"5,661",638,105,788,401,257,"1,354",Y
L14,1,369,"1,091",77,957,316,196,"1,281",N
L15,1,994,461,102,"1,977",358,108,540,N
L16,1,"3,333",89,71,340,410,176,794,N
L17,1,"3,418",-18,57,"1,117",239,101,"1,319",N
L18,1,"7,564",363,120,417,"1,037",99,"1,161",N
L19,1,"1,824","1,488",123,"1,353",783,292,"1,616",N
L20,1,896,401,70,"1,340",211,171,"1,447",N
L21,1,413,598,140,998,322,162,"1,238",N
L22,1,"1,230",690,86,212,412,256,593,N
L23,1,-315,26,176,817,63,895,"10,907",N
L24,1,506,518,16,255,302,133,99,N
M1,1,"1,192",371,41,44,337,227,978,N
M2,1,"4,020","1,036",94,681,564,235,"1,538",N
M3,1,480,989,97,414,226,251,722,N
M4,1,"1,316","1,124",80,"1,944",309,146,"1,648",N
M5,1,401,586,114,843,244,364,753,Y
M6,1,"1,810",545,82,"1,151",291,150,"1,984",N
M7,1,529,900,41,588,237,187,838,N
M8,1,"1,480","1,028",55,"1,382",279,192,472,N
M9,1,"1,822",658,72,961,574,136,"1,463",N
M10,1,"1,609",722,100,"1,575",661,105,771,Y
M11,1,"8,651","2,331",338,-102,804,538,"9,298",N
M12,1,"2,941",287,100,"2,192",637,241,938,N
M13,1,"5,982",648,160,62,552,280,"3,422",N
M14,1,700,906,71,640,284,91,300,N
M15,1,"1,059",388,74,656,298,157,"1,181",N
M16,1,"1,995","1,520",260,"1,803",895,546,"5,595",N
M17,1,"1,017","1,213",142,572,416,378,"1,978",N
M18,1,"1,402",556,22,597,179,257,719,N
M19,1,56,737,66,188,276,315,929,N
M20,1,400,543,54,"1,716",139,211,976,N
M21,1,"3,145",688,247,"1,196",638,492,"1,032",N
M22,1,"1,391",663,168,"1,363",330,300,622,N
M23,1,898,410,43,571,221,196,240,N
M24,1,537,-75,29,102,109,47,324,N
N1,1,"13,495",674,111,753,606,215,99,N
N2,1,"1,488","1,326",92,"1,249",362,229,"1,240",N
N3,1,"1,338","1,234",157,"1,735",574,291,"3,515",N
N4,1,"3,692","1,314",61,512,609,188,"1,568",N
N5,1,466,677,156,"1,133",327,249,"1,242",N
N6,1,"3,339",409,74,433,831,159,"1,617",N
N7,1,"1,205",721,67,118,200,173,147,N
N8,1,"1,013",511,75,338,219,208,"1,107",N
N9,1,"1,394","2,144",220,"1,618",727,666,"3,676",N
N10,1,299,781,98,"1,135",290,251,"1,210",N
N11,1,140,227,92,978,111,178,214,N
N12,1,"2,646","1,582",64,903,692,398,"2,455",N
N13,1,466,286,62,"1,600",222,160,"4,711",N
N14,1,"3,872",623,176,"1,618",969,367,"1,605",N
N15,1,988,-28,39,751,185,14,123,N
N16,1,354,570,74,359,155,100,374,N
N17,1,"1,274",451,200,962,581,354,"1,071",N
N18,1,594,175,151,753,314,289,575,N
N19,1,234,206,55,"1,332",158,168,392,Y
N20,1,597,552,126,"1,728",707,217,"1,178",N
N21,1,"1,187",351,93,"1,701",250,99,812,N
N22,1,-856,"1,404",249,526,159,"1,005","30,894",N
N23,1,"3,498",544,115,895,803,120,"1,867",N
N24,1,990,452,91,"1,690",211,160,"1,214",N
O1,1,896,536,52,"1,490",268,165,925,Y
O2,1,334,474,42,"1,214",174,78,175,N
O3,1,"6,645","1,436",131,"2,042",787,589,"2,586",N
O4,1,"2,953",759,69,"1,041",350,209,"1,470",N
O5,1,"2,616",134,222,692,820,295,613,N
O6,1,942,"1,093",63,"1,674",239,224,"1,739",N
O7,1,"1,486",265,71,686,315,89,526,N
O8,1,"4,265",570,53,529,464,151,792,N
O9,1,583,473,23,640,208,107,"1,453",N
O10,1,255,661,69,"1,679",249,60,"1,432",N
O11,1,"1,368",563,86,"1,646",375,127,"1,495",Y
O12,1,379,294,147,"1,190",380,229,"1,091",N
O13,1,917,225,124,"2,090",342,144,805,N
O14,1,"7,131","1,111",113,651,566,388,"1,592",N
O15,1,378,-19,54,957,888,48,"1,062",N
O16,1,650,666,83,"1,549",333,169,"1,595",Y
O17,1,"3,819",280,61,443,603,234,"2,974",N
O18,1,"3,269","1,052",94,774,758,207,"1,391",N
O19,1,"5,936",830,353,44,706,660,"1,226",N
O20,1,246,272,40,376,190,231,315,N
O21,1,"7,986","1,244",238,-45,"1,022",443,"2,965",N
O22,1,"1,819",443,62,434,397,103,"1,992",N
O23,1,"3,770","1,109",191,456,472,354,"1,145",N
